album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
Nicky Romero JAPAN COLLECTION 2021,1,1muUz481pBOMzJ9De3NS6e,Okay,spotify:track:1muUz481pBOMzJ9De3NS6e,0.0463,0.513,0.836,0,0.128,-3.781,0.0579,124.964,0.304,37,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,2,7atzowi7mF0hVRYd1hiqIn,Back To You,spotify:track:7atzowi7mF0hVRYd1hiqIn,0.00604,0.652,0.708,0,0.11,-7.174,0.0347,125.027,0.313,23,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,3,6JpIJhMJwCIcUOU55byfFL,Into The Light,spotify:track:6JpIJhMJwCIcUOU55byfFL,0.0217,0.309,0.841,0,0.0808,-3.195,0.0427,128.009,0.168,14,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,4,1TtgPwrijmj04FBIUQxedv,Destiny,spotify:track:1TtgPwrijmj04FBIUQxedv,0.097,0.532,0.807,0,0.0608,-3.597,0.0457,125.028,0.369,10,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,5,4Y1zfCQknodhwx0R30tKFI,You Used To,spotify:track:4Y1zfCQknodhwx0R30tKFI,0.123,0.543,0.916,0.807,0.213,-4.733,0.0315,124.983,0.424,18,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,6,3Z6uVRzoJroNalXvEIAOjH,World Through Your Eyes,spotify:track:3Z6uVRzoJroNalXvEIAOjH,0.000577,0.522,0.939,0.00491,0.0628,-5.109,0.0359,126.023,0.069,16,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,7,5Z8yVx6B3ze9Ora9gpq9Vi,Burning,spotify:track:5Z8yVx6B3ze9Ora9gpq9Vi,0.0206,0.576,0.948,1.26E-05,0.712,-4.007,0.0496,128.026,0.387,16,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,8,0QcLUCe7C5PUIvbSzzp9EQ,Replica,spotify:track:0QcLUCe7C5PUIvbSzzp9EQ,0.000929,0.563,0.995,0.634,0.134,-4.472,0.149,125.075,0.0398,4,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,10,0hziD9YJ58yyBEMMdEbCoj,Ups & Downs,spotify:track:0hziD9YJ58yyBEMMdEbCoj,0.166,0.567,0.907,0.000619,0.102,-3.154,0.0498,130.043,0.242,30,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,11,3US8WthBRLJwU9Z9agGz2H,Only For You,spotify:track:3US8WthBRLJwU9Z9agGz2H,0.258,0.513,0.825,0,0.218,-3.022,0.0384,127.95,0.366,18,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,12,2jENqrrDjyELfyXmuxZYfE,Falling,spotify:track:2jENqrrDjyELfyXmuxZYfE,0.0178,0.519,0.886,5.37E-06,0.253,-4.184,0.0562,137.924,0.264,4,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,13,5577pNig6FLMEa43AB5sqK,I Need You To Know,spotify:track:5577pNig6FLMEa43AB5sqK,0.0221,0.44,0.739,0,0.561,-5.341,0.0494,127.62,0.156,4,Nicki Romero
Nicky Romero JAPAN COLLECTION 2021,15,31xqlEutnJGeu9vwkE3P6v,Nights With You,spotify:track:31xqlEutnJGeu9vwkE3P6v,0.383,0.58,0.745,0,0.25,-4.915,0.048,150.103,0.612,33,Nicki Romero
Nicky Romero - JAPAN COLLECTION,1,6eikrpBB2AQfnYQrDZcvMo,Love You Forever,spotify:track:6eikrpBB2AQfnYQrDZcvMo,0.00232,0.383,0.698,4.39E-05,0.111,-3.409,0.0374,127.821,0.15,19,Nicki Romero
Nicky Romero - JAPAN COLLECTION,2,1oKjsIoaPUy3tQZSGSfgdp,Warriors,spotify:track:1oKjsIoaPUy3tQZSGSfgdp,0.0241,0.642,0.845,0.000975,0.0608,-3.635,0.0414,127.016,0.319,6,Nicki Romero
Nicky Romero - JAPAN COLLECTION,3,1KMcSu6oHKOUMpYTi8lxqb,Like Home,spotify:track:1KMcSu6oHKOUMpYTi8lxqb,0.0496,0.748,0.855,0.0106,0.417,-4.088,0.0626,127.996,0.141,6,Nicki Romero
Nicky Romero - JAPAN COLLECTION,4,6puVf4DDbW9MV2YeXeTAZg,Dynamite,spotify:track:6puVf4DDbW9MV2YeXeTAZg,0.0164,0.344,0.865,5.48E-05,0.105,-5.84,0.223,128.05,0.208,12,Nicki Romero
Nicky Romero - JAPAN COLLECTION,5,4c7KMrB9H5QHB3jkgLlM4D,My Way - Marcus Santoro Remix,spotify:track:4c7KMrB9H5QHB3jkgLlM4D,0.00509,0.685,0.814,0.000183,0.0598,-5.184,0.0571,125.009,0.601,4,Nicki Romero
Nicky Romero - JAPAN COLLECTION,6,5F7leA5rLGZXSRLzGowuOH,I See,spotify:track:5F7leA5rLGZXSRLzGowuOH,0.00221,0.606,0.952,0.0688,0.294,-3.391,0.0662,127.985,0.286,4,Nicki Romero
Nicky Romero - JAPAN COLLECTION,7,26JMw4hXS6PyVG01vmsfEQ,Lighthouse,spotify:track:26JMw4hXS6PyVG01vmsfEQ,0.00468,0.657,0.726,0,0.0755,-4.191,0.0678,128,0.365,6,Nicki Romero
Nicky Romero - JAPAN COLLECTION,8,2WmzXDbrAtn1bA1VWC8k1c,Stay,spotify:track:2WmzXDbrAtn1bA1VWC8k1c,0.132,0.667,0.692,0,0.0937,-7.667,0.075,116.074,0.373,20,Nicki Romero
Nicky Romero - JAPAN COLLECTION,9,6eWkSYGnO8MNCTdTZSlUFk,Paradise - Deniz Koyu Festival Mix,spotify:track:6eWkSYGnO8MNCTdTZSlUFk,0.0621,0.568,0.806,0,0.209,-4.108,0.0315,125.992,0.362,9,Nicki Romero
