album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist_name
FORΞVΞR (DΞLUXΞ ΞDITION),1,71aIUivj7CNz4TZGhss6LK,FORΞVΞR,spotify:track:71aIUivj7CNz4TZGhss6LK,0.126,0.282,0.485,0.00231,0.134,-7.951,0.0329,75.004,0.0805,41,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),2,3Nx1HSvKbHu198qPVIV13N,Stay Awake,spotify:track:3Nx1HSvKbHu198qPVIV13N,0.00557,0.658,0.726,4.18E-05,0.273,-6.26,0.0486,99.994,0.354,56,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),3,41JMkYGCl35JbOrFqdDwM6,Sail Away,spotify:track:41JMkYGCl35JbOrFqdDwM6,0.186,0.538,0.746,6.35E-06,0.0983,-5.65,0.0662,94.837,0.508,49,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),4,61XEPnW5oMUGXJpdRdaEvk,Tears For Later,spotify:track:61XEPnW5oMUGXJpdRdaEvk,0.0239,0.633,0.867,0.00101,0.0901,-3.692,0.149,95.057,0.162,55,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),5,5tQnoZNXlKBXlnu3rSVGZl,Get Out Get Hurt,spotify:track:5tQnoZNXlKBXlnu3rSVGZl,0.378,0.752,0.787,1.11E-05,0.104,-5.829,0.218,108.007,0.268,44,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),6,5RLE8K2uLYoGkyi2yvKnsN,Good Time,spotify:track:5RLE8K2uLYoGkyi2yvKnsN,0.0573,0.562,0.732,0,0.0954,-3.973,0.0842,100.023,0.276,38,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),7,6vbcojwsVS0geU7t8T5UnQ,Make a Change,spotify:track:6vbcojwsVS0geU7t8T5UnQ,0.219,0.665,0.797,0,0.0874,-4.83,0.103,94.972,0.5,39,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),8,4ZhVzE3rSxnJLqfXRBE8Ar,Too Much To Ask,spotify:track:4ZhVzE3rSxnJLqfXRBE8Ar,0.102,0.693,0.691,0,0.111,-5.483,0.0758,102.033,0.401,43,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),9,7dA0NSbWeuvuVJn2c3o7la,Survive,spotify:track:7dA0NSbWeuvuVJn2c3o7la,0.732,0.633,0.806,1.01E-05,0.11,-5.546,0.147,99.963,0.358,0,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),10,2PRjwWPjJHmjFmC3NPXrTy,Cheque,spotify:track:2PRjwWPjJHmjFmC3NPXrTy,0.202,0.816,0.796,1.66E-06,0.137,-4.393,0.148,122.028,0.702,54,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),11,67p96tIoC4ESrod9kW331R,Hot Air Balloon,spotify:track:67p96tIoC4ESrod9kW331R,0.129,0.815,0.71,0.528,0.113,-6.353,0.0469,122.967,0.572,62,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),12,5f3DSQhteHEjqPoY0C55y8,From The Deep,spotify:track:5f3DSQhteHEjqPoY0C55y8,0.42,0.661,0.848,0.000133,0.464,-6.146,0.0666,111.951,0.222,34,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),13,51tE20mzMwHmKPtvkIN6Yc,Invisible,spotify:track:51tE20mzMwHmKPtvkIN6Yc,0.0439,0.666,0.664,0.00175,0.15,-5.828,0.0384,127.989,0.528,36,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),14,0ceNAVvWa5fxzrqbDBfLN1,Into The Unknown,spotify:track:0ceNAVvWa5fxzrqbDBfLN1,0.141,0.591,0.755,0.0217,0.117,-6.541,0.0403,116.012,0.13,35,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),15,7lKUa1NjFYQI6wMIvZbRhW,Beautiful Feeling,spotify:track:7lKUa1NjFYQI6wMIvZbRhW,0.293,0.753,0.846,0.000522,0.318,-4.754,0.0429,100.052,0.216,34,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),1,4zQdlbEh6Bg6UBUcgPGzk7,Bad,spotify:track:4zQdlbEh6Bg6UBUcgPGzk7,0.443,0.79,0.771,0.00656,0.168,-4.109,0.0686,123.929,0.683,0,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),2,6emQ5bCB0gr0ExPlUzCwLG,Problems,spotify:track:6emQ5bCB0gr0ExPlUzCwLG,0.21,0.721,0.768,0.00843,0.262,-4.371,0.0685,124.076,0.468,56,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),3,1DLd7KBEzbDElnG9MJb42t,High Low,spotify:track:1DLd7KBEzbDElnG9MJb42t,0.155,0.56,0.786,0,0.127,-4.415,0.0439,80.004,0.518,42,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),4,03urVLAOI0gaqJab5vQ9PC,Kill Me Better,spotify:track:03urVLAOI0gaqJab5vQ9PC,0.107,0.46,0.784,0,0.129,-3.489,0.0459,79.979,0.519,0,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),5,6vYTQjlQkBTFYDMgfjkgin,Through The Storm,spotify:track:6vYTQjlQkBTFYDMgfjkgin,0.549,0.709,0.69,0,0.0924,-6.397,0.222,109.99,0.387,40,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),7,6hEpSYkEjWoDY55RLt5cYE,What We Started,spotify:track:6hEpSYkEjWoDY55RLt5cYE,0.223,0.292,0.845,0.000199,0.162,-3.939,0.108,89.775,0.466,0,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),8,53wCe6bXmbDerqzSjfHcxO,Congratulations,spotify:track:53wCe6bXmbDerqzSjfHcxO,0.0836,0.813,0.801,3.53E-05,0.36,-5.295,0.14,120.055,0.504,51,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),9,02lwJYZRLPdCiP9apvxcka,Brave,spotify:track:02lwJYZRLPdCiP9apvxcka,0.171,0.66,0.873,1.38E-06,0.133,-3.88,0.0529,119.938,0.536,0,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),10,62JwUIKvKr6xirwpn7Wcwu,I Got Love,spotify:track:62JwUIKvKr6xirwpn7Wcwu,0.286,0.848,0.955,0.000862,0.0604,-1.862,0.153,122.98,0.545,0,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),11,3ypUfpnLcbSrpi0hpMsU0Z,Never Change,spotify:track:3ypUfpnLcbSrpi0hpMsU0Z,0.00383,0.554,0.955,0.0406,0.408,-2.884,0.0571,125.882,0.243,46,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),12,4T8oU7z9zmu4CxvP8pN1NV,Thousand Faces,spotify:track:4T8oU7z9zmu4CxvP8pN1NV,0.534,0.577,0.821,0,0.0961,-3.079,0.0452,97.006,0.515,0,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),13,7wnIrqyDhFuydjN84GzRYs,INFINITΞ FUTURΞ,spotify:track:7wnIrqyDhFuydjN84GzRYs,0.924,0.182,0.169,0.959,0.111,-17.876,0.0469,121.979,0.0392,26,Don Diablo
FORΞVΞR (DΞLUXΞ ΞDITION),14,18I3fEKcn99ow6aTTUzA41,RACΞ - Welcome to HΞXAGONIA,spotify:track:18I3fEKcn99ow6aTTUzA41,0.00201,0.614,0.844,0.692,0.491,-4.923,0.042,115.065,0.0364,33,Don Diablo
Reconstructions Part II,1,29fPhldPheJlrr55sVHPqo,Nothing Breaks Like A Heart - Don Diablo Remix,spotify:track:29fPhldPheJlrr55sVHPqo,0.179,0.712,0.871,1.83E-06,0.203,-3.571,0.224,123.975,0.379,0,Don Diablo
Reconstructions Part II,2,4zR4PEQl6wQlEP7IhsaTjo,Levitating - Don Diablo Remix,spotify:track:4zR4PEQl6wQlEP7IhsaTjo,0.103,0.683,0.918,1.26E-06,0.471,-3.029,0.155,119.972,0.372,0,Don Diablo
Reconstructions Part II,3,77zDXzvG3aF09dGWFS8erd,Sun In Our Eyes - Don Diablo Remix,spotify:track:77zDXzvG3aF09dGWFS8erd,0.0569,0.674,0.86,1.47E-06,0.1,-3.058,0.204,126.025,0.267,0,Don Diablo
Reconstructions Part II,4,6wrwSB09L9qD8VWlQmqhEW,Alane - Don Diablo Remix,spotify:track:6wrwSB09L9qD8VWlQmqhEW,0.422,0.632,0.887,2.74E-05,0.129,-3.795,0.116,124.964,0.435,0,Don Diablo
Reconstructions Part II,5,1Twjyowj6fkCMr7rEUkfig,Something Just Like This - Don Diablo Remix,spotify:track:1Twjyowj6fkCMr7rEUkfig,0.115,0.723,0.79,0.000482,0.0714,-4.163,0.0842,124.035,0.498,0,Don Diablo
Reconstructions Part II,6,7gQPvxz4LmQA5C5LTA0Wwg,All The Time - Don Diablo Remix,spotify:track:7gQPvxz4LmQA5C5LTA0Wwg,0.0797,0.674,0.931,2.17E-05,0.111,-3.432,0.0734,124.004,0.608,0,Don Diablo
Reconstructions Part II,7,1iqF9buiiBvLbz3Ya5Wy5l,High Hopes - Don Diablo Remix,spotify:track:1iqF9buiiBvLbz3Ya5Wy5l,0.0216,0.595,0.888,0,0.484,-2.856,0.0686,126.101,0.264,0,Don Diablo
Reconstructions Part II,8,4CkQBeCr5KoDayy0RbDOtv,Sixteen - Don Diablo Remix,spotify:track:4CkQBeCr5KoDayy0RbDOtv,0.431,0.493,0.769,6.14E-06,0.0807,-3.791,0.149,123.009,0.299,0,Don Diablo
Reconstructions Part II,9,6AupPVNaK5g6nHr2MRQ9ix,Another Chance - Don Diablo Edit,spotify:track:6AupPVNaK5g6nHr2MRQ9ix,0.00272,0.581,0.959,0,0.553,-1.785,0.0977,125.986,0.0725,0,Don Diablo
Reconstructions Part II,10,5rkckwd832ds1ClRHvRiTL,Birthday - Don Diablo Remix,spotify:track:5rkckwd832ds1ClRHvRiTL,0.0868,0.649,0.935,0,0.127,-3.155,0.122,123.965,0.676,0,Don Diablo
Reconstructions Part II,11,5n16oYRdufc0Xb0Amb4ryy,Kids In Love - Don Diablo Remix,spotify:track:5n16oYRdufc0Xb0Amb4ryy,0.0635,0.652,0.91,5.74E-05,0.301,-2.98,0.0639,125.959,0.322,0,Don Diablo
Reconstructions Part II,12,2q6nFKXh0zdL6lPq5cgi9S,Ocean - Don Diablo Remix,spotify:track:2q6nFKXh0zdL6lPq5cgi9S,0.0808,0.704,0.88,0.0157,0.612,-4.209,0.0635,122.934,0.209,0,Don Diablo
Reconstructions Part II,13,53rYsF6sn2remCi5I0GGPk,Thing For You - Don Diablo Remix,spotify:track:53rYsF6sn2remCi5I0GGPk,0.38,0.748,0.887,1.13E-05,0.613,-3.042,0.0926,124.114,0.536,0,Don Diablo
Reconstructions Part II,14,6jkqLJFwa2VBbQQkBEtIXP,Survive - Don Diablo VIP Mix,spotify:track:6jkqLJFwa2VBbQQkBEtIXP,0.124,0.674,0.889,0.0244,0.076,-3.473,0.0963,123.919,0.439,0,Don Diablo
